epoch,train_rmse,val_rmse
1,0.6387946251246797,0.7496329655008764
2,0.6278605854638634,0.7536842599601397
3,0.618667716411575,0.7573622878750215
4,0.6108225646762563,0.7614418786765259
5,0.604083196087198,0.7651929307259662
6,0.598101930521501,0.7681245919928547
7,0.5928301329294995,0.7712392702586655
8,0.5880299761447612,0.7740102151391532
9,0.5836669023253721,0.7765469659485724
10,0.5796626687198035,0.779001120526454
11,0.5759410397310661,0.7810630672505039
12,0.5724940145334912,0.7827238402545645
13,0.5692479460171813,0.7842503840823409
14,0.5661632619339358,0.7860275924696853
15,0.5632036905615617,0.7879343298549636
16,0.5603614982297868,0.7896397678445441
